srx	srr
SRX000538	SRR001962
SRX000538	SRR001963
SRX000538	SRR001964
SRX000539	SRR001965
SRX000539	SRR001966
SRX000539	SRR001967
SRX000539	SRR001968
SRX000539	SRR001969
SRX000556	SRR001970
SRX000556	SRR001971
SRX000556	SRR001972
SRX000556	SRR001973
SRX000556	SRR001974
SRX000557	SRR001975
SRX000557	SRR001976
SRX000557	SRR001977
SRX000557	SRR001978
SRX000557	SRR001979
SRX000558	SRR001980
SRX000558	SRR001981
SRX000558	SRR001982
SRX000558	SRR001983
SRX000558	SRR001984
SRX003311	SRR014532
SRX003312	SRR014533
SRX006151	SRR018292
SRX006151	SRR018293
SRX006152	SRR018294
SRX006158	SRR018305
SRX006158	SRR018306
SRX006275	SRR018517
SRX006276	SRR018518
SRX006277	SRR018519
SRX006278	SRR018521
SRX006279	SRR018522
SRX006280	SRR018523
SRX006282	SRR018574
SRX006283	SRR018575
SRX006283	SRR029943
SRX006290	SRR018580
SRX006291	SRR018581
SRX006292	SRR018582
SRX006293	SRR018583
SRX006293	SRR018584
SRX006300	SRR018591
SRX006300	SRR018592
SRX006300	SRR018593
SRX006301	SRR018594
SRX006302	SRR018595
SRX006303	SRR018596
SRX006303	SRR018597
SRX006304	SRR018600
SRX006304	SRR018601
SRX006305	SRR018603
SRX010898	SRR026674
SRX010899	SRR026675
SRX010900	SRR026676
SRX010901	SRR027010
SRX010902	SRR027011
SRX010903	SRR027012
SRX010904	SRR027005
SRX010905	SRR027004
SRX010906	SRR027006
SRX010907	SRR027007
SRX010908	SRR027008
SRX010909	SRR027009
SRX010933	SRR026829
SRX010933	SRR026862
SRX010933	SRR026863
SRX010933	SRR026874
SRX010933	SRR026875
SRX010933	SRR026932
SRX010933	SRR026933
SRX010933	SRR026936
SRX010933	SRR026937
SRX010938	SRR026799
SRX010938	SRR026800
SRX010938	SRR026806
SRX010938	SRR026807
SRX010938	SRR026955
SRX010938	SRR026956
SRX010938	SRR026978
SRX010938	SRR026979
SRX010938	SRR026993
SRX010956	SRR026817
SRX010956	SRR026887
SRX010956	SRR026888
